年份,地区,地区生产总值(万元),第一产业增加值(万元),第二产业增加值(万元),第三产业增加值(万元),第一产业增加值占GDP比重(%),第二产业增加值占GDP比重(%),第三产业增加值占GDP比重(%),人均地区生产总值(元),户籍人口(万人),非农业人口数(万人),年平均人口(万人),自然增长率(‰),第一产业从业人员数(万人),第二产业从业人员数(万人),第三产业从业人员数(万人),教育业从业人员数(万人),在岗职工平均人数(万人),在岗职工工资总额(万元),职工平均工资(元),地区生产总值增长率(%),规模以上工业企业数(个),规模以上工业总产值(当年价，万元),产品销售收入(万元),利税总额(万元),流动资产合计(万元),固定资产投资总额(万元),当年实际使用外资金额(万美元),地方财政一般预算内收入(万元),地方财政一般预算内支出(万元),科学支出(万元),教育支出(万元),年末金融机构各项贷款余额(万元),年末金融机构存款余额(万元),城乡居民储蓄年末余额(万元),普通高等学校在校学生数(人),专利授权数(件),发明专利授权数(件),货运总量(万吨),人口密度(人／平方公里)
2008,舟山,4902500,491720.75,2264464.75,2146314.5,10.03,46.19,43.78,50683,96.77,35.79,,-0.85,0.02,5.47,7.57,1.21,12,455139,38702.3,14.5,590,6718654,5917097,,,3394255,15855,431534,767785,17765,97074,6354304,7308382,2959217,22695,,,10205,672
2007,舟山,4083700,447981.89,1787435.49,1848282.62,10.97,43.77,45.26,42259,96.69,35.48,,0.21,0.02,4.46,7.02,1.16,11,375695,33424.82,17,531,4863550,4089898,,,2796374,7516,350636,565227,14826,82209,4843506,5617142,2205839,20809,,,9299,671
2006,舟山,3351979,418997.375,1395093.66,1538223.163,12.5,41.62,45.89,34682,96.58,35.18,,-0.59,0.02,3.73,6.88,1.16,10,288417,28443.49,18,451,3603896,3108378,,,2189878,5003,242578,408208,2005,59671,3732509,4515015,2049019,17311,,,8306,671
2005,舟山,2801592,398386.382,1112512.183,1290413.275,14.22,39.71,46.06,28936,96.73,34.91,,-0.2,0.02,3.96,6.79,1.18,10,265604,25368.1,18,442,2833416,2555513,,,1611191,3120,182082,319384,1682,51151,2846953,3634879,1735399,13481,,,6717,672
2004,舟山,2120391,382094.458,913040.365,825256.177,18.02,43.06,38.92,21855,96.91,34.64,,0.27,0.02,4.22,6.72,1.2,11,237411,22250.33,17,339,2024845,1942682,60137,,1278744,2251,135746,289284,1360,45952,2352002,3098207,1523018,10253,,,5430,673
2003,舟山,1722656,329888.624,711456.928,681310.448,19.15,41.3,39.55,17679,97.12,33.59,,-0.92,0.02,3.56,6.57,1.18,10,182703,18777.29,15.5,314,1530256,1443507,110683,,980091,1704,113864,230973,1087,40297,1901242,2593658,1279347,6146,,,3777,674
2002,舟山,1460140,329115.556,533243.128,597781.316,22.54,36.52,40.94,14910,97.76,32.55,,-0.31,0.05,3.82,6.72,,10,169073,16690.33,12.6,300,1200661,1103705,79708,,481441,1124,90100,200000,,,,,1104000,6260,,,3264,679
2001,舟山,1266912,330410.65,431763.61,504737.741,26.08,34.08,39.84,12893,98.1,29.82,98.3,-0.03,0.12,3.53,7.02,,11,155754,14735.48,,228,886576,868357,61367,,379375,1141,79800,158400,,,,,967600,4785,,,3063,681
2000,舟山,1140261,330675.69,379706.913,431018.658,29,33.3,37.8,,98.41,28.35,,1.02,0.15,4.21,6.93,,11,129884,11504,12,194,742164,914706,71385,,282266,1055,62300,114800,,,,,853900,3813,,,2735,683
1999,舟山,1013672,312210.976,319306.68,382154.344,30.8,31.5,37.7,,98.42,27.15,,0.69,0.16,4.61,7.36,,12,124255,10389,12,186,582165,713615,47314,,180683,869,49800,93700,,,,,,2733,,,2597,683
1998,舟山,935639,306889.592,275077.866,352735.903,32.8,29.4,37.7,,98.54,25.71,,6.5,0.16,4.96,7.53,,13,116512,9210,7.3,,,574044,28326,,309962,658,,,,,,,,2006,,,2357,684
1997,舟山,891533,296702.182,273522.324,321397.646,33.28,30.68,36.05,,98.58,24.42,,1.75,21.41,15.85,28.16,,15,121608,8369,7.9,,,564373,25500,,340853,1162,,,,,,,,1724,,,2457,715
1996,舟山,825827,275826.218,258483.851,291516.931,33.4,31.3,35.3,,98.47,23.73,,2.53,21.25,17.27,27.9,,,113262,7456,6.7,,,539960,27636,,162300,2022,,,,,,,,1651,,,1999,718
1995,舟山,734927,222682.881,248405.326,263838.793,30.3,33.8,35.9,,98.28,23.24,,2.41,21.5,17.67,28.01,,,107138,6855,-1.4,,,587171,38564,,115582,2319,,,,,,,,1839,,,2221,717
1994,舟山,596987,186359,202086,208542,31.217,33.851,34.932,,97.99,22.53,,1.8,21.29,15.85,24.76,,,89682,5888.51,,,,537196,38775,,143558,2265,,,,,,,,1598,,,1788,714
1993,舟山,413400,,,,,,,,97.88,21.81,,3,,,,,,,,,,,,,,86270,,31388,29405,,5780,,,,1134,,,1649,714
1992,舟山,341400,,,,,,,,97.63,21.3,,4.6,,,,,,,,,,,,,,58342,,25619,25025,,4593,,,,,,,1274,712
1991,舟山,289400,104900,93600,91000,36.247,32.343,31.444,2979,97.35,21.02,97.2,3.95,27.36,14.16,13.21,,,40205,,,,,265541,23421,,42599,582,23623,21993,,,,,,1260,,,1191,710
1990,舟山,245700,87700,79300,78700,35.694,32.275,32.031,2538,96.99,20.69,96.8,5.7,27.63,13.72,13.42,,,34820,,,,,200988,13346,,23528,203,22334,20244,,,,,,1340,,,1047,707
